block_size_km,feature,source_group,season_or_orbit,feature_family,selected_count_out_of_folds,selection_frequency_pct
15,L89_dry_NIR,Landsat 8/9 optical,dry,spectral_band_or_percentile,1,20.0
15,L89_dry_SWIR2_p75,Landsat 8/9 optical,dry,spectral_band_or_percentile,1,20.0
15,L89_wet_NBR,Landsat 8/9 optical,wet,spectral_index,1,20.0
15,L89_wet_SWIR2,Landsat 8/9 optical,wet,spectral_band_or_percentile,1,20.0
15,S2_dry_B12,Sentinel-2 optical,dry,spectral_band_or_percentile,1,20.0
15,S2_dry_B4,Sentinel-2 optical,dry,spectral_band_or_percentile,1,20.0
15,S2_dry_B8,Sentinel-2 optical,dry,spectral_band_or_percentile,1,20.0
15,S2_dry_CI_RE,Sentinel-2 optical,dry,spectral_index,1,20.0
15,S2_dry_GNDVI,Sentinel-2 optical,dry,spectral_index,1,20.0
15,S2_dry_NBR,Sentinel-2 optical,dry,spectral_index,1,20.0
15,S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile,1,20.0
15,S2_wet_B6,Sentinel-2 optical,wet,spectral_band_or_percentile,1,20.0
15,S2_wet_NBR,Sentinel-2 optical,wet,spectral_index,1,20.0
15,S2_wet_NDVI_RE,Sentinel-2 optical,wet,spectral_index,1,20.0
15,S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index,1,20.0
15,S2_wet_NLI,Sentinel-2 optical,wet,spectral_index,1,20.0
15,S2_wet_SR,Sentinel-2 optical,wet,spectral_index,1,20.0
20,DEM_elevation,DEM/topography,static_or_annual,topographic,5,100.0
20,L89_dry_MSI,Landsat 8/9 optical,dry,spectral_index,5,100.0
20,L89_wet_NBR2,Landsat 8/9 optical,wet,spectral_index,5,100.0
20,S2_dry_CVI,Sentinel-2 optical,dry,spectral_index,5,100.0
20,S2_dry_MNDWI,Sentinel-2 optical,dry,spectral_index,5,100.0
20,S2_dry_NBR2,Sentinel-2 optical,dry,spectral_index,5,100.0
20,S2_dry_NDI,Sentinel-2 optical,dry,spectral_index,5,100.0
20,S2_wet_NBR2,Sentinel-2 optical,wet,spectral_index,5,100.0
20,L89_dry_NDVI,Landsat 8/9 optical,dry,spectral_index,4,80.0
20,S1_VHasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric,4,80.0
20,S1_VVasc_p50,Sentinel-1 SAR,ascending,sar_backscatter_metric,4,80.0
20,S2_dry_B11,Sentinel-2 optical,dry,spectral_band_or_percentile,4,80.0
20,S2_dry_B2,Sentinel-2 optical,dry,spectral_band_or_percentile,4,80.0
20,S2_dry_NDMI,Sentinel-2 optical,dry,spectral_index,4,80.0
20,S2_dry_PSRI,Sentinel-2 optical,dry,spectral_index,4,80.0
20,S2_wet_B12,Sentinel-2 optical,wet,spectral_band_or_percentile,4,80.0
20,S2_wet_CVI,Sentinel-2 optical,wet,spectral_index,4,80.0
20,S2_dry_SR,Sentinel-2 optical,dry,spectral_index,3,60.0
20,S2_wet_B11,Sentinel-2 optical,wet,spectral_band_or_percentile,3,60.0
20,S2_wet_NDWI,Sentinel-2 optical,wet,spectral_index,3,60.0
20,L89_dry_BSI,Landsat 8/9 optical,dry,spectral_index,2,40.0
20,L89_dry_Green,Landsat 8/9 optical,dry,spectral_band_or_percentile,2,40.0
20,L89_dry_NDMI,Landsat 8/9 optical,dry,spectral_index,2,40.0
20,L89_dry_Red,Landsat 8/9 optical,dry,spectral_band_or_percentile,2,40.0
20,L89_dry_SWIR2,Landsat 8/9 optical,dry,spectral_band_or_percentile,2,40.0
20,L89_dry_SWIR2_p75,Landsat 8/9 optical,dry,spectral_band_or_percentile,2,40.0
20,S2_dry_B6,Sentinel-2 optical,dry,spectral_band_or_percentile,2,40.0
20,S2_dry_GNDVI,Sentinel-2 optical,dry,spectral_index,2,40.0
20,S2_wet_B7,Sentinel-2 optical,wet,spectral_band_or_percentile,2,40.0
20,S2_wet_GNDVI,Sentinel-2 optical,wet,spectral_index,2,40.0
20,S2_wet_NBR,Sentinel-2 optical,wet,spectral_index,2,40.0
20,S2_wet_NLI,Sentinel-2 optical,wet,spectral_index,2,40.0
20,S2_wet_SR,Sentinel-2 optical,wet,spectral_index,2,40.0
20,DEM_slope,DEM/topography,static_or_annual,topographic,1,20.0
20,L89_dry_Blue,Landsat 8/9 optical,dry,spectral_band_or_percentile,1,20.0
20,L89_dry_NIR,Landsat 8/9 optical,dry,spectral_band_or_percentile,1,20.0
20,L89_dry_SWIR1,Landsat 8/9 optical,dry,spectral_band_or_percentile,1,20.0
20,S2_dry_B12,Sentinel-2 optical,dry,spectral_band_or_percentile,1,20.0
20,S2_dry_B3,Sentinel-2 optical,dry,spectral_band_or_percentile,1,20.0
20,S2_dry_B5,Sentinel-2 optical,dry,spectral_band_or_percentile,1,20.0
20,S2_dry_B7,Sentinel-2 optical,dry,spectral_band_or_percentile,1,20.0
20,S2_dry_B8,Sentinel-2 optical,dry,spectral_band_or_percentile,1,20.0
20,S2_dry_NDWI,Sentinel-2 optical,dry,spectral_index,1,20.0
20,S2_dry_NLI,Sentinel-2 optical,dry,spectral_index,1,20.0
20,S2_wet_B6,Sentinel-2 optical,wet,spectral_band_or_percentile,1,20.0
20,S2_wet_CI_RE,Sentinel-2 optical,wet,spectral_index,1,20.0
20,S2_wet_MSR,Sentinel-2 optical,wet,spectral_index,1,20.0
